seq,operation,phase,address_offset,register,write_value,redundant_from_reset,read_mask,compare,read_expect,description
82,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000007,,,,,ENG0_TXDATA0     ch1 bits 31:0
83,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000007,,,,,ENG0_TXDATA1     ch1 bits 63:32
84,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
85,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x0000000f,,,,,ENG0_TXDATA0     ch2 bits 31:0
86,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x0000000f,,,,,ENG0_TXDATA1     ch2 bits 63:32
87,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
88,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
89,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
90,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
91,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
92,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000008,,,,,ENG0_TXDATA0     ch1 bits 31:0
93,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000008,,,,,ENG0_TXDATA1     ch1 bits 63:32
94,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
95,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000010,,,,,ENG0_TXDATA0     ch2 bits 31:0
96,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000010,,,,,ENG0_TXDATA1     ch2 bits 63:32
